Прайс-лист на 23 сентября 2026 г.									

Ценовая группа		Розничная	АКЦИЯ
	Замена кнопки «В»	800,00	600,00
	Замена кнопки «В» (врезной)	200,00	
	Замена коммутатора	1 000,00	
	Замена КСПВ (полностью на 5-и этажах)	600,00	
	Замена КСПВ (полностью на 9-и этажах)	1 080,00	
	Замена КСПВ (частично) за 1 метр	40,00	
	Замена разветвителя	200,00	
	Замена светодиода	200,00	
	Замена ТКП (на существующее место крепления)	200,00	200,00
	Замена ТКП с переделкой крепления	500,00	500,00
	Замена ТРП (от коммутаторного узла до ТКП)	1 450,00	1 450,00
	Замена уплотнителя полностью	200,00	
	Замена устройства для «слабослышащих»	200,00	
	Замена электромагнитного замка	200,00	
	Замена электромеханического замка (на существующее место крепления)	900,00	
	Замок навесной	200,00	190,00
	Зубило для перфоратора	350,00	330,00
	Изолента ПВХ	120,00	120,00
	ИК-прожектор	4 517,00	3 840,00
	Индикатор E30361 (для МК 2003)	100,00	80,00
	Инжектор PoE ORIENT SAP-24POE 1A AC 100-240V	800,00	750,00
	Инжектор PoE ST-4801 (24 Вт) Space Technology (ST-4801)	1 000,00	950,00
	Инжектор PoE ST-4801 (24Вт)	840,00	840,00
	ИО-102-2 (СМК-1) Извещатель охранный точечный магнитоконтакный, для наружной установки	89,00	89,00
	Кабель HDMI-HDMI 0.75м	300,00	290,00
	Кабель HDMI-HDMI 1.5м	340,00	320,00
	Кабель Optimus U5e 4х2х0,5 Cu (IN)	50,00	45,00
	Кабель Optimus U5e 4х2х0,5 Cu (OUT)	50,00	45,00
	Кабель Optimus UTP-5e 4х2х0,5 +2*0,75 CCA (outdoor)	48,00	42,00
	Кабель Optimus UTP-5e 4х2х0,5 Cu (indoor)	50,00	45,00
	Кабель Optimus UTP-5e 4х2х0,5 Cu (outdoor)	50,00	45,00
	Кабель Optimus КВК 2х0,5 (outdoor)	45,00	42,00
	Кабель Optimus КВК 2х0,75 (outdoor)	40,00	36,00
