Прайс-лист на 23 сентября 2026 г.									

Ценовая группа		Розничная	АКЦИЯ
	Комплект видеодомофона Optimus Leader IK 7.0 (b+b)	13 557,00	11 179,00
	Комплект видеодомофона Optimus Leader IK 7.0 (w+b)	13 557,00	11 179,00
	Комплект видеодомофона Optimus VNH-7.1 (w)+DSH-1080 (серебряный) v.1	20 388,00	17 330,00
	Комплект видеодомофона Optimus VNH-7.1 (w)+DSH-1080 (черный) v.1	20 388,00	17 330,00
	Комплект видеонаблюдения WiFi KIT1204	18 490,00	16 641,00
	Комплект Дорхан Барьер 6000про	50 600,00	49 600,00
	Комплект Дорхан Свинг5000  распашные	35 000,00	34 500,00
	Комплект приемник передачи Optimus B-5T	499,00	424,00
	Коннектор BNC Optimus штекер под винт с пружиной	40,00	35,00
	Коннектор DC гнездо с клемной колодкой	25,00	20,00
	Коннектор DC штекер с винтовым контактом	40,00	35,00
	коннектор RCA тюльпан	35,00	30,00
	Коннектор RJ-45	12,00	10,00
	Коннектор RJ-45 Optimus (Cat-6, 8P8C	6,00	5,00
	Контроллер Boxer v3.8	10 000,00	9 500,00
	Контроллер Optimus SK-01	1 000,00	950,00
	Контроллер Z-5R	1 600,00	1 500,00
	Контроллер Эра 500	20 140,00	20 140,00
	копьютерная мышь	550,00	500,00
	Коронка по стали 22мм	320,00	300,00
	Корпус металлический Щрн-24 Titan 3	3 200,00	3 000,00
	Коуши 3мм (2шт)	50,00	45,00
	Краска АЭР Luxens ЭМ ДЕКОР ЧЕРНЫЙ  МАТ.	300,00	285,00
	Краска балончик грунт молотковая	300,00	285,00
	Краска Сента Хаммер 2,5л 307 (голубой)	3 000,00	3 000,00
	Крепежный анкер	85,00	80,00
	Крепление дверной коробки с заменой деталей	3 250,00	
	Кронштейн видеодомофона Magic 7HD	1 100,00	
	Кронштейн для крепления камеры на столб	250,00	250,00
	Кронштейн уголок перфорированный 300*40	130,00	120,00
	Кронштейн уголок перфорированный 400*40	90,00	80,00
	Круг отрезной 125х1,6х22 по металлу	30,00	28,00
	Круг отрезной 125х1х22 по металлу	20,00	18,00
	Круг отрезной СИБРТЕХ 125х1х22 по металлу	32,50	30,00
	Ксилол 4,6л	1 200,00	1 200,00
	Лезвия на нож	70,00	70,00
	Лента малярная	100,00	100,00
	Лента перфорированная для крепления трубы	30,00	28,00
	Лестница 4x3	4 852,00	
	Личный кабинет (регистрация)	300,00	250,00
	Маркер по металлу	75,00	75,00
	Маршрутизатор Huawei AX1 WS5203-20	2 500,00	2 300,00
	Маршрутизатор Huawei AX3 WS7100-25	4 999,00	4 500,00
	Металл для переделки дверей комплект	950,00	900,00
	Метчик М6	220,00	210,00
	Микрофон OptimusМ-6	200,00	150,00
	Микрофон OptimusМ-7	400,00	350,00
	Микрофон OptimusМ-8	400,00	400,00
	Микрофон АМ 110G	400,00	350,00
	Микрофон АМ 510G	450,00	420,00
	Модем 4G Huawei E3372	5 000,00	4 800,00
	Модуль WiFi	800,00	780,00
	Модуль ограничения МОП Даксис	817,00	735,00
	Модуль поворота кожуха КД-03	2 300,00	2 000,00
	Модуль сопряжения CTV-CID	3 000,00	2 800,00
	Модуль сопряжения MC-VZ/T	3 000,00	2 800,00
	Модуль сопряжения МСК СЛИМ	2 000,00	1 890,00
	Модуль сопряжения МСК-Г	3 000,00	2 700,00
	Модуль сопряжения МСЦ Даксис	1 849,00	1 800,00
	Монтаж и настройка точки доступа	1 500,00	1 300,00
	Монтаж кабель канала	50,00	40,00
	Монтаж камеры	1 000,00	950,00
	Монтаж камеры в лифт	1 500,00	1 450,00
	Монтаж кронштейна	2 000,00	1 850,00
	Монтаж СОД	2 000,00	1 850,00
	Монтажный комплект/расходники	6,00	
	Мультиметр тестер	350,00	
	Муфта 16/16	130,00	
	Муфта ПП 32 для личинки накладного замка	50,00	45,00
	Муфта ПП 40 для личинки накладного замка	80,00	75,00
	Накладка под КВ2	300,00	250,00
	Накладка под МК 2008.2	350,00	300,00
	Настройка IP видеодомофона	3 500,00	3 500,00
	Настройка IP видеодомофона заказчика	5 500,00	
	Настройка видеорегистратора	2 500,00	1 500,00
	Настройка домофона	1 800,00	1 500,00
	Настройка камеры в сети	1 500,00	1 400,00
	Настройка подключения СКУД	5 000,00	4 500,00
	Настройка точки доступа	1 500,00	1 400,00
	Настройка удаленного доступа	2 500,00	2 300,00
	Нож канцелярский	150,00	150,00
	Оповещатель световой	500,00	
	Отвод ПП 50*87	26,00	26,00
	Очистка электромагнитного замка	500,00	450,00
	Очки защитные	95,00	95,00
	Пакет	5,00	5,00
	Панель видеодомофона Optinus -1080 (сереб.)_V.1	6 787,00	5 769,00
	Панель видеодомофона Optinus -1080 (черный)_V.1	6 787,00	5 769,00
	Пена монтажная	555,00	520,00
	Переделка двери	3 500,00	3 000,00
	Перенос ТКП	1 500,00	1 450,00
	ПК DEXPAquilon 0384 Cjre i3	43 888,00	41 200,00
	Пластина соединительная 100*200*1,8	88,00	88,00
	Пластина соединительная 100*300*0,2	240,00	220,00
	Пластина соединительная 120*300*1,8	220,00	200,00
	Плата вызывной панели МК 2003.2 MFE	7 500,00	7 200,00
	Плата контроллера Optimus SK-01	1 000,00	850,00
	Плата контроллера Optimus АС1-100	1 265,00	1 075,00
	Подключение видео сигнала к телевизору	1 500,00	
	Подключение замка	1 500,00	1 500,00
	Подключение к услуге Умный домофон	500,00	250,00
	Подключение сети 220В	318,00	
	Подключение ТКП к системе домофона	400,00	300,00
	Правка дверной петли (без замены деталей)	600,00	500,00
	Приемо передатчик, удлинитель видео сигнала	500,00	475,00
	Припой канифоль	260,00	250,00
	Проверка выходного напряжения блока питания.	1 000,00	800,00
	Проверка системы домофона («прозвонка» квартир, проверка ключей)	1 500,00	1 350,00
	Провод многожильный КМС 4*0,5 (м)	33,00	30,00
	Провод многожильный КМСП 10*0,5 (м)	40,00	37,00
	Провод многожильный КМСП 14*0,4 (м)	35,00	32,00
	Провод многожильный КМСП 20*0,5 (м)	70,00	65,00
	Провод многожильный КМСП 4*0,4 (м)	25,00	22,00
	Провод многожильный КМСП 8*0,4 (м)	35,00	33,00
	Провод многожильный КСПВ 10*0,4 (м)	50,00	45,00
	Провод многожильный КСПВ 14*0,4 (м)	24,00	22,00
	Провод многожильный КСПВ 4*0,4 (м)	14,00	12,00
	Провод многожильный КСПВ 8*0,4 (м)	45,00	43,00
	Програмирование пульта	550,00	
	Программатор KeyMaster 3RF	2 500,00	1 800,00
	Прокладка кабеля (м)	50,00	45,00
	Прокладка кабеля в трубе в асфальте	100,00	
	Прокладка кабеля от щитка до двери	1 300,00	1 300,00
	Прошивка оборудования	2 500,00	1 500,00
	Пульт Nero An-Motors	1 950,00	1 800,00
	Пульт дорхан двухканальный	2 500,00	2 000,00
	Разветвитель видео сигнала MKV-KVP	1 200,00	1 150,00
	Распределительная коробка  BOX 130	250,00	240,00
	Распределительная коробка  BOX1 (черный)	190,00	180,00
	Распределительная коробка 100*100*55	185,00	175,00
	Распределительная коробка 103*50 внутр	85,00	80,00
	Распределительная коробка 120*80 IP 55	100,00	95,00
	Распределительная коробка 190*140*70	585,00	550,00
	Распределительная коробка 210*150*100	560,00	540,00
	Распределительная коробка 50*50*20 белая	40,00	35,00
	Распределительная коробка 70*50	80,00	75,00
	Распределительная коробка 75*75*28 белая	85,00	75,00
	Распределительная коробка 80*80 ip 54	85,00	80,00
	Распределительная коробка 85*85	95,00	90,00
	Распределительная коробка AT-MA-PJB01 влагозащищенная	190,00	180,00
	Распределительная коробка для видеокамер	300,00	280,00
	Распределительная коробка круглая 65х35	32,00	32,00
	Регулировка доводчика	1 000,00	800,00
	Регулировка электромагнитного замка в подъезде	650,00	500,00
	Реле 4 вых.	300,00	280,00
	Ремонт внутренней обшивки двери (правка, клепки)	1 500,00	1 300,00
	Ремонт двери (без замены деталей)	1 000,00	
	Ремонт кнопки «В» (без демонтажа)	850,00	650,00
	Рое Инжектор Оптимус IG1	2 438,00	2 072,00
	Розетка двойная	290,00	275,00
	Розетка одинарная	135,00	130,00
	Розетка тройная	315,00	310,00
	Роутер 4G-Russia	2 000,00	1 700,00
	Роутер Optimus WR2-240154G	5 495,00	4 616,00
	Роутер TP-Link TL-WR820N	2 000,00	1 750,00
	Роутер TP-Link TL-WR844N	2 000,00	1 900,00
	Саморез 3,5*25 бур	2,00	2,00
	Саморез 5*70	10,00	8,00
	Саморез гипсокартон 3,5х19	0,70	0,60
	Саморез гипсокартон 3,5х35	1,50	1,50
	Саморез гипсокартон 3,5х41	1,40	1,30
	Саморез кровельный 5,5*25	4,50	4,50
	Саморез пресшайба 4,2*16	500,00	500,00
	Сверло перовое по плитке Д12	293,00	280,00
	Сверло по керамике 3мм	120,00	115,00
	Сверло по керамике 6 мм	115,00	110,00
	Сверло по металлу 2,5мм	50,00	45,00
	Сверло по металлу 3,5 мм	100,00	85,00
	Сверло по металлу 3мм	80,00	75,00
	Сверло по металлу 4,2мм	80,00	75,00
	Сверло по металлу 4мм	100,00	85,00
	Сверло по металлу 5мм	65,00	65,00
	Сверло по металлу 6мм	350,00	350,00
	Сверло по металлу 8мм	350,00	350,00
	Сверло ступенчатаое 4-20	750,00	700,00
	Сверло ступенчатаое 4-32	1 600,00	1 500,00
	Сверло центрирующее для коронок	190,00	180,00
	Сетевой фильтр 3 розетки 3 метра	750,00	700,00
	Сетевой фильтр 3 розетки 5 метров	750,00	700,00
	Сетевой фильтр 4 розетки 1,8м	644,00	621,00
	Сетевой фильтр 5 розеток 1,8м	550,00	510,00
	Сетевой фильтр 5 розеток 5 метров	850,00	800,00
	Сим карта	1 500,00	1 300,00
	Скоба с гвоздиками  (4)	80,00	75,00
	Скобы для электро кабеля 8*5 плоск 50шт	2,00	1,50
	Смазка дверных петель	1 500,00	1 350,00
	Соединитель 3-х труб хром	190,00	190,00
	Соединитель Скотч-Лок	20,00	18,00
	Соленоидный замок FE-L100	2 800,00	2 500,00
	Сплиттер PoE Optimus SM1 (12B)	635,00	540,00
	Стекло МК2003	100,00	80,00
	Стяжка  3,5 х 200мм белая	2,00	2,00
	Стяжка белая 4*200мм	1,50	1,40
	Стяжка Оптимус 2,5 х 150мм черная	0,50	0,50
	Стяжка Оптимус 2,5 х150мм белая	3,80	3,60
	Стяжка Оптимус 3,6 х 150мм белая	2,00	1,90
	Стяжка Оптимус 3,6 х 150мм черная	2,00	1,60
	Стяжка Оптимус 3,6 х 200мм белая	1,30	1,20
	Стяжка Оптимус 3,6 х 200мм черные (100шт)	100,00	90,00
	Стяжка черная 200мм 1,5	125,00	120,00
	Стяжка черная 200мм 2,5	3,50	3,00
	Стяжка черная леруа 150 *3,5	1,50	1,40
	Считыватель KMF врезной	3 250,00	3 100,00
	Считыватель KMF накладной	2 500,00	2 300,00
	Считыватель Optimus AC1- RM 265 с контроллером	2 593,00	2 150,00
	Считыватель Optimus CR-01	1 144,00	973,00
	Считыватель Optimus RE268	1 307,00	1 111,00
	Считыватель Optimus RM 265	2 000,00	1 700,00
	Считыватель TS-RDR-E White Em-marine	1 960,00	1 960,00
	Считыватель TS-RDR-USB-EM для внесения карт	2 090,00	2 090,00
	Считыватель ТМ JSBo 15.0	600,00	550,00
	Талреп М 5  крюк кольцо	150,00	140,00
	Талреп М 8 крюк кольцо	70,00	65,00
	Талреп М6 крюк кольцо	105,00	103,00
	Талреп М6 крюк крюк	135,00	130,00
	Термоусадка	8,00	8,00
	ТКП 05М	1 050,00	950,00
	ТКП 06М	1 300,00	1 300,00
	ТКП 12М	1 400,00	1 400,00
	ТКП 14М	1 500,00	1 500,00
	ТКП VIZIT UKP12	800,00	750,00
	ТКП VIZIT UKP12M	900,00	850,00
	ТКП VIZIT UKP7	700,00	650,00
	ТКП VOICE C black	1 700,00	1 700,00
	ТКП VOICE C Grey	1 600,00	1 600,00
	ТКП VOICE C white	1 500,00	1 300,00
	Точка доступа Optimus WB-24350	7 500,00	7 000,00
	Точка доступа PV-Link PV-WF2B	5 500,00	5 250,00
	Точка доступа PV-Link PV-WF2B v.2136 комплект	9 550,00	9 000,00
	Точка доступаNanostation LocoM2	4 300,00	4 150,00
	Трос 2/3мм	20,00	18,00
	Труба ПВХ жесткая Д16 для магистрали	50,00	45,00
	Труба ПНД 20	40,00	35,00
	Труба ПП Д20 2м	36,00	36,00
	Труба ПП Д50 длина 2м	165,00	165,00
	Труба хром 25*0,8*1000	170,00	170,00
	Труба хром 25*0,8*1500	231,00	231,00
	ТЦП 12D	2 100,00	1 800,00
	ТЦП LM-8d черная	2 500,00	2 300,00
	Удлинитель видео сигнала HDMI-RJ45-RJ45-НDMI	7 790,00	7 450,00
	Универсальный Ключ MF 136P	250,00	200,00
	Уровень строительный	400,00	385,00
	Усиленная шайба	6,00	5,00
	Установка блока питания	1 500,00	1 250,00
	Установка видеомонитора	2 500,00	2 200,00
	Установка видеомонитора клиента	5 000,00	4 500,00
	Установка видеорегистратора	2 500,00	2 300,00
	Установка вызывного блока	1 800,00	1 500,00
	Установка вызывной панели (башня)	1 800,00	1 500,00
	Установка доводчика	1 000,00	800,00
	Установка и настройка контроллера	1 800,00	1 500,00
	Установка и настройка регистратора	1 500,00	1 350,00
	Установка и настройка СКУД	7 500,00	7 000,00
	Установка и настройка шлагбаума	17 000,00	15 000,00
	Установка индивидуальных настроек вызывной панели	600,00	500,00
	установка к канала при установки ТКП	50,00	40,00
	Установка кабель канала	350,00	350,00
	Установка камеры	1 500,00	1 400,00
	Установка коммутатора	1 800,00	1 500,00
	Установка ловителя стрелы с бетонировнием	5 000,00	4 800,00
	Установка микрофона	550,00	
	Установка МСК	1 000,00	800,00
	Установка Настройка сетевого узла	1 800,00	1 500,00
	Установка ТКП (с монтажным комплектом) (монтажный комплект: саморезы, ТРП, дюбели, буры, гвозди, изо	1 000,00	1 000,00
	Установка ТКП клиента	1 450,00	1 450,00
	Установка ТКП клиента без прокладки кабеля	500,00	500,00
	Установка электромеханического замка	3 000,00	
	Установка, настройка сетевого оборудования	1 500,00	1 250,00
	Устранение общей неисправности системы домофона («переполюсация», без замены оборудования)	2 500,00	2 000,00
	Устранение радио-помех в системе домофона	2 500,00	2 350,00
	Флэшка 16Гб	650,00	650,00
	Фонарь налобный	350,00	350,00
	Фотоэлементы дорхан	4 000,00	3 800,00
	Хомут для wifi антены	250,00	250,00
	Хомут металл к ПП	40,00	40,00
	Цемент 50кг	410,00	
	Цепь оцинкованная3мм	350,00	320,00
	Цепь оцинкованная8мм	500,00	500,00
	Шайба оцинк. 6мм	1,20	1,00
	Шайба оцинк. 8 мм	3,00	3,00
	Шпилька М 5	85,00	80,00
	Щит Электрический пластиковый ЩРН-П-06	500,00	480,00
	Щит Электрический пластиковый ЩРН-П-08	650,00	630,00
	Щит электрический ЩРН 12з	3 600,00	3 500,00
	Щит электрический ЩРН-24з	5 390,00	5 000,00
	Электромагнитный замок ML 180К	3 000,00	2 950,00
	Электромагнитный замок ML 400	3 950,00	3 850,00
	Электромагнитный замок ML 450	2 094,00	1 948,00
	Электромагнитный замок ML250	3 500,00	3 300,00
	Электромагнитный замок SPRUT-296 MA-L 280	3 000,00	2 850,00
	Электромагнитный замок SPRUT-Lock-181MA-L	2 590,00	
	Электромагнитный замок ST- EL181s	3 000,00	2 800,00
	Электромагнитный замок VIZIT ML 300M-40-50	3 050,00	2 950,00
	Электромеханическая защелка Optimus EML--01-M-(NO)	2 500,00	2 300,00
	Электромеханическая защелка Optimus EMR--01-NC	2 987,00	2 539,00
	Электромеханический замок  Optimus EMR-02(хром)	2 794,00	2 375,00
	Электромеханический замок NoviCam DL 11	1 687,00	1 547,00
	Электромеханический замок Optimus EMR-EMS-01-NO	2 271,00	1 930,00
	Ящик антивандальный для видеорегистратора	3 600,00	3 500,00
Работа услуги			
	Регулировка СТРЕЛЫ ШЛАГБАУМА	1 500,00	1 000,00
	Установка  СТРЕЛЫ ШЛАГБАУМА	2 000,00	1 500,00
